subject_index,truth,model_prediction,other_prediction,model_correct,other_correct,relation
293,2,2,2,True,True,both_correct
294,2,2,2,True,True,both_correct
295,2,2,2,True,True,both_correct
296,2,2,2,True,True,both_correct
297,2,2,2,True,True,both_correct
298,2,2,2,True,True,both_correct
299,2,2,2,True,True,both_correct
300,2,2,2,True,True,both_correct
301,2,2,2,True,True,both_correct
302,2,2,2,True,True,both_correct
303,2,2,2,True,True,both_correct
304,2,2,2,True,True,both_correct
305,2,2,2,True,True,both_correct
306,2,2,2,True,True,both_correct
307,2,2,2,True,True,both_correct
308,2,2,2,True,True,both_correct
309,2,2,2,True,True,both_correct
310,2,2,2,True,True,both_correct
311,2,2,2,True,True,both_correct
312,2,2,2,True,True,both_correct
313,2,2,2,True,True,both_correct
314,2,2,2,True,True,both_correct
315,2,2,2,True,True,both_correct
316,2,2,2,True,True,both_correct
317,2,2,1,True,False,model_only_correct
318,2,2,2,True,True,both_correct
319,2,2,2,True,True,both_correct
320,2,2,2,True,True,both_correct
321,2,2,2,True,True,both_correct
322,2,2,2,True,True,both_correct
323,2,2,2,True,True,both_correct
324,2,2,2,True,True,both_correct
325,2,2,2,True,True,both_correct
326,2,2,2,True,True,both_correct
327,2,2,2,True,True,both_correct
328,2,2,2,True,True,both_correct
329,2,2,2,True,True,both_correct
330,2,2,2,True,True,both_correct
331,2,2,2,True,True,both_correct
332,2,2,2,True,True,both_correct
333,2,2,2,True,True,both_correct
334,2,2,2,True,True,both_correct
335,2,2,2,True,True,both_correct
336,2,2,2,True,True,both_correct
337,2,2,2,True,True,both_correct
338,2,2,2,True,True,both_correct
339,2,2,2,True,True,both_correct
340,2,2,2,True,True,both_correct
341,2,2,2,True,True,both_correct
342,2,2,2,True,True,both_correct
343,2,2,2,True,True,both_correct
344,2,2,2,True,True,both_correct
345,2,2,2,True,True,both_correct
346,2,2,2,True,True,both_correct
347,2,2,2,True,True,both_correct
348,2,2,2,True,True,both_correct
349,2,2,2,True,True,both_correct
350,2,2,2,True,True,both_correct
351,2,2,2,True,True,both_correct
352,2,2,2,True,True,both_correct
353,2,2,2,True,True,both_correct
354,2,2,2,True,True,both_correct
355,2,1,2,False,True,other_only_correct
356,2,2,2,True,True,both_correct
357,2,2,1,True,False,model_only_correct
358,2,2,2,True,True,both_correct
359,2,2,2,True,True,both_correct
360,2,2,2,True,True,both_correct
361,2,2,0,True,False,model_only_correct
362,2,2,2,True,True,both_correct
363,2,2,2,True,True,both_correct
364,2,0,2,False,True,other_only_correct
365,2,2,2,True,True,both_correct
366,2,2,2,True,True,both_correct
367,2,2,2,True,True,both_correct
368,2,2,2,True,True,both_correct
369,2,2,2,True,True,both_correct
370,2,2,2,True,True,both_correct
371,2,2,2,True,True,both_correct
372,2,2,2,True,True,both_correct
373,2,2,2,True,True,both_correct
374,2,2,2,True,True,both_correct
375,2,2,2,True,True,both_correct
376,2,2,2,True,True,both_correct
377,2,2,2,True,True,both_correct
378,2,2,1,True,False,model_only_correct
379,2,2,2,True,True,both_correct
380,2,2,2,True,True,both_correct
381,2,2,2,True,True,both_correct
382,2,2,2,True,True,both_correct
383,2,2,1,True,False,model_only_correct
384,2,2,2,True,True,both_correct
385,2,2,2,True,True,both_correct
386,2,2,2,True,True,both_correct
387,2,2,2,True,True,both_correct
388,2,2,2,True,True,both_correct
389,2,2,2,True,True,both_correct
390,2,2,2,True,True,both_correct
391,2,2,2,True,True,both_correct
392,2,2,2,True,True,both_correct
393,2,1,1,False,False,both_wrong
394,2,2,2,True,True,both_correct
395,2,2,2,True,True,both_correct
396,2,2,2,True,True,both_correct
397,2,2,2,True,True,both_correct
398,2,2,2,True,True,both_correct
399,2,2,2,True,True,both_correct
400,2,2,2,True,True,both_correct
401,2,0,2,False,True,other_only_correct
402,2,2,2,True,True,both_correct
403,2,2,2,True,True,both_correct
404,2,2,2,True,True,both_correct
405,2,2,2,True,True,both_correct
406,2,2,2,True,True,both_correct
407,2,2,2,True,True,both_correct
408,2,2,2,True,True,both_correct
409,2,2,2,True,True,both_correct
410,2,2,2,True,True,both_correct
411,2,2,2,True,True,both_correct
412,2,2,2,True,True,both_correct
413,2,2,2,True,True,both_correct
414,2,2,2,True,True,both_correct
415,2,2,2,True,True,both_correct
416,2,2,2,True,True,both_correct
417,2,2,2,True,True,both_correct
418,2,2,2,True,True,both_correct
419,2,2,2,True,True,both_correct
420,2,2,2,True,True,both_correct
421,2,2,2,True,True,both_correct
422,2,2,2,True,True,both_correct
423,2,2,2,True,True,both_correct
424,2,2,2,True,True,both_correct
425,2,2,2,True,True,both_correct
426,2,2,2,True,True,both_correct
427,2,2,2,True,True,both_correct
428,2,2,2,True,True,both_correct
429,2,2,2,True,True,both_correct
430,2,2,2,True,True,both_correct
431,2,2,2,True,True,both_correct
432,2,2,2,True,True,both_correct
433,2,2,2,True,True,both_correct
434,2,2,2,True,True,both_correct
435,2,2,2,True,True,both_correct
436,2,2,2,True,True,both_correct
437,2,2,2,True,True,both_correct
438,2,1,2,False,True,other_only_correct
439,2,1,1,False,False,both_wrong
440,2,2,2,True,True,both_correct
441,2,2,2,True,True,both_correct
442,2,2,2,True,True,both_correct
443,2,2,2,True,True,both_correct
444,2,2,2,True,True,both_correct
445,2,2,2,True,True,both_correct
446,2,2,2,True,True,both_correct
447,2,2,2,True,True,both_correct
448,2,2,2,True,True,both_correct
449,2,2,2,True,True,both_correct
450,2,2,2,True,True,both_correct
451,2,1,1,False,False,both_wrong
452,2,2,2,True,True,both_correct
453,2,2,2,True,True,both_correct
454,2,2,2,True,True,both_correct
455,2,2,2,True,True,both_correct
456,2,2,2,True,True,both_correct
457,2,2,2,True,True,both_correct
458,2,2,2,True,True,both_correct
459,2,2,2,True,True,both_correct
460,2,2,2,True,True,both_correct
461,2,2,2,True,True,both_correct
462,2,2,2,True,True,both_correct
463,2,2,2,True,True,both_correct
464,2,2,2,True,True,both_correct
465,2,2,2,True,True,both_correct
466,2,2,2,True,True,both_correct
467,2,2,2,True,True,both_correct
468,2,2,2,True,True,both_correct
469,2,2,2,True,True,both_correct
470,2,2,2,True,True,both_correct
471,2,2,2,True,True,both_correct
472,2,2,2,True,True,both_correct
473,2,2,2,True,True,both_correct
474,2,2,2,True,True,both_correct
475,2,2,2,True,True,both_correct
476,2,2,2,True,True,both_correct
477,2,0,2,False,True,other_only_correct
478,2,2,2,True,True,both_correct
479,2,2,2,True,True,both_correct
480,2,0,2,False,True,other_only_correct
481,2,2,2,True,True,both_correct
482,2,2,2,True,True,both_correct
483,2,2,2,True,True,both_correct
484,2,2,2,True,True,both_correct
485,2,2,2,True,True,both_correct
486,2,2,2,True,True,both_correct
487,2,2,0,True,False,model_only_correct
488,2,2,2,True,True,both_correct
489,2,2,2,True,True,both_correct
490,2,2,2,True,True,both_correct
491,2,2,2,True,True,both_correct
492,2,2,2,True,True,both_correct
493,2,2,2,True,True,both_correct
494,2,2,2,True,True,both_correct
495,2,2,2,True,True,both_correct
496,2,2,2,True,True,both_correct
497,2,2,2,True,True,both_correct
498,2,2,2,True,True,both_correct
499,2,2,2,True,True,both_correct
500,2,2,2,True,True,both_correct
501,2,2,2,True,True,both_correct
502,2,0,0,False,False,both_wrong
503,2,2,2,True,True,both_correct
504,2,2,2,True,True,both_correct
505,2,2,2,True,True,both_correct
506,2,2,2,True,True,both_correct
507,2,2,2,True,True,both_correct
508,2,2,2,True,True,both_correct
509,2,2,2,True,True,both_correct
510,2,2,2,True,True,both_correct
511,2,2,2,True,True,both_correct
512,2,2,2,True,True,both_correct
513,2,2,2,True,True,both_correct
514,2,2,2,True,True,both_correct
515,2,2,2,True,True,both_correct
516,2,2,2,True,True,both_correct
517,2,2,2,True,True,both_correct
518,2,2,2,True,True,both_correct
519,2,0,0,False,False,both_wrong
520,2,2,2,True,True,both_correct
521,2,2,2,True,True,both_correct
522,2,1,1,False,False,both_wrong
523,2,2,1,True,False,model_only_correct
524,2,1,2,False,True,other_only_correct
525,2,2,2,True,True,both_correct
526,2,2,2,True,True,both_correct
527,2,2,2,True,True,both_correct
528,2,2,2,True,True,both_correct
529,2,2,2,True,True,both_correct
530,2,2,2,True,True,both_correct
531,2,2,2,True,True,both_correct
532,2,2,2,True,True,both_correct
533,2,2,2,True,True,both_correct
534,2,2,2,True,True,both_correct
535,2,2,2,True,True,both_correct
536,2,2,2,True,True,both_correct
537,2,2,2,True,True,both_correct
538,2,2,2,True,True,both_correct
539,2,2,2,True,True,both_correct
540,2,2,2,True,True,both_correct
541,2,2,2,True,True,both_correct
542,2,2,2,True,True,both_correct
543,2,2,2,True,True,both_correct
544,2,2,2,True,True,both_correct
545,2,2,2,True,True,both_correct
546,2,2,2,True,True,both_correct
547,2,2,2,True,True,both_correct
548,2,2,2,True,True,both_correct
549,2,2,2,True,True,both_correct
550,2,2,2,True,True,both_correct
551,2,2,2,True,True,both_correct
552,2,2,2,True,True,both_correct
553,2,2,2,True,True,both_correct
554,2,2,2,True,True,both_correct
555,2,2,2,True,True,both_correct
556,2,2,2,True,True,both_correct
557,2,2,2,True,True,both_correct
558,2,2,2,True,True,both_correct
559,2,2,2,True,True,both_correct
560,2,2,2,True,True,both_correct
561,2,2,2,True,True,both_correct
562,2,2,2,True,True,both_correct
563,2,2,2,True,True,both_correct
564,2,0,0,False,False,both_wrong
565,2,2,2,True,True,both_correct
566,2,2,2,True,True,both_correct
567,2,2,2,True,True,both_correct
568,2,2,2,True,True,both_correct
569,2,1,1,False,False,both_wrong
570,2,2,2,True,True,both_correct
571,2,2,2,True,True,both_correct
572,2,2,2,True,True,both_correct
573,2,2,2,True,True,both_correct
574,2,2,2,True,True,both_correct
575,2,2,2,True,True,both_correct
576,2,2,2,True,True,both_correct
577,2,2,2,True,True,both_correct
578,2,2,2,True,True,both_correct
579,2,2,2,True,True,both_correct
580,2,2,2,True,True,both_correct
581,2,2,2,True,True,both_correct
582,2,2,2,True,True,both_correct
583,2,2,2,True,True,both_correct
584,2,2,2,True,True,both_correct
585,2,1,1,False,False,both_wrong
586,2,2,2,True,True,both_correct
587,2,2,2,True,True,both_correct
588,2,2,2,True,True,both_correct
589,2,0,0,False,False,both_wrong
590,2,2,2,True,True,both_correct
591,2,2,2,True,True,both_correct
592,2,2,2,True,True,both_correct
593,2,2,0,True,False,model_only_correct
594,2,2,1,True,False,model_only_correct
595,2,2,2,True,True,both_correct
596,2,2,2,True,True,both_correct
597,2,2,2,True,True,both_correct
